,Links,Note,Users,Items_offer,Items_want
0,https://rocket-league.com/trade/3031c5a633d6,| ,https://my.playstation.com/profile/Toxic_XxLightxX,~Fennec Huntress/ ~Anodized/,~Credits offer/
1,https://rocket-league.com/trade/056c5e2d5746,| ,https://my.playstation.com/profile/Linqxzy,~Interstellar/,~Credits/Q:1550
2,https://rocket-league.com/trade/4331a00bdb0b,| ,https://my.playstation.com/profile/Xelboku51,~Riser/Clr:burnt-sienna/ ~Riser/Clr:forest-green/ ~Light Show/Clr:pink/,~Credits offer/ ~Credits offer/ ~Credits offer/
3,https://rocket-league.com/trade/fe21067b5bd2,| ,https://my.playstation.com/profile/fe4RLess21345,~Sub-Zero/Clr:burnt-sienna/,~Offer/
4,https://rocket-league.com/trade/0439f6be74ee,| ,https://my.playstation.com/profile/JAYSIL101,~Octane/Clr:cobalt/,~Credits/Q:1250 ~Offer/
5,https://rocket-league.com/trade/707393d6100e,| ,https://my.playstation.com/profile/yazz9_,~R3MX GXT/ ~Credits/Q:100000 ,~R3MX GXT/ ~Credits/Q:100000 
6,https://rocket-league.com/trade/d1c0956fb99f,| ,https://my.playstation.com/profile/ECU_LENREY07,~Golden Lantern '21/Q:3,~Credits/Q:750 ~Hellfire/ ~Sub-Zero/
7,https://rocket-league.com/trade/26181d7d7fd2,| ,https://my.playstation.com/profile/Toxic_XxLightxX,~Dominus/Clr:titanium-white/,~Offer/ ~Mainframe/Clr:titanium-white/
8,https://rocket-league.com/trade/88771db8f732,| ,https://my.playstation.com/profile/mozuna1,~Heatwave/ ~Fire God/ ~Octane/Clr:crimson/,~Credits/Q:2000 ~Credits/Q:1700 ~Credits/Q:4500
9,https://rocket-league.com/trade/b57314752d2a,| ,https://my.playstation.com/profile/Chooksta04,~Credits/Q:70 ~Credits/Q:10 ~Credits/Q:80,~Christmas Tree/ ~Octane Racer/ ~Octane Griffon/Clr:titanium-white/
10,https://rocket-league.com/trade/fa7c10425170,| ,https://my.playstation.com/profile/Toxic_XxLightxX,~Invader/Clr:titanium-white/ ~Gaiden/ ~Infinium/Clr:sky-blue/,~Credits offer/
