,Links,Note,Users,Items_offer,Items_want
1,https://rocket-league.com/trade/056c5e2d5746,| ,https://my.playstation.com/profile/Linqxzy,~Interstellar/,~Credits/Q:1550
8,https://rocket-league.com/trade/88771db8f732,| ,https://my.playstation.com/profile/mozuna1,~Heatwave/ ~Fire God/ ~Octane/Clr:crimson/,~Credits/Q:2000 ~Credits/Q:1700 ~Credits/Q:4500
9,https://rocket-league.com/trade/b57314752d2a,| ,https://my.playstation.com/profile/Chooksta04,~Credits/Q:70 ~Credits/Q:10 ~Credits/Q:80,~Christmas Tree/ ~Octane Racer/ ~Octane Griffon/Clr:titanium-white/
12,https://rocket-league.com/trade/a6488487ca8f,| ,https://my.playstation.com/profile/XEl1te-HunTeRzX,~Credits/Q:19500 ,~Fennec/Clr:titanium-white/
14,https://rocket-league.com/trade/9086f2deaf7c,| ,https://my.playstation.com/profile/mozuna1,~Phoenix Wings III/Clr:pink/ ~Flamethrower/Clr:titanium-white/,~Credits/Q:400 ~Credits/Q:400
15,https://rocket-league.com/trade/2e1ac9790e4d,| ,https://my.playstation.com/profile/SaivionH,~Streak Wave/Clr:black/ ~Streak Wave/Clr:lime/ ~Streak Wave/Clr:pink/ ~Streak Wave/Clr:orange/,~Credits/Q:20 ~Credits/Q:20 ~Credits/Q:20 ~Credits/Q:10
16,https://rocket-league.com/trade/16b88c4db6ea,| ,https://my.playstation.com/profile/ECU_LENREY07,~Dominus Snakeskin/ ~Dot Rush/,~Credits/Q:70 ~Credits/Q:70
19,https://rocket-league.com/trade/6093fdeca691,| ,https://my.playstation.com/profile/xX_Tim_Xx7824,~Winter Storm/,~Credits/Q:50
20,https://rocket-league.com/trade/6a08ec7aeb9a,| ,https://my.playstation.com/profile/Chooksta04,~Dueling Dragons/,~Credits/Q:5000
26,https://rocket-league.com/trade/9486f0fb0f18,| ,https://my.playstation.com/profile/yuvcb675,~Credits/Q:50 ~Credits/Q:1000 ~Credits/Q:600 ~Credits/Q:100 ~Credits/Q:150 ~Credits/Q:80 ~Credits/Q:200 ~Credits/Q:250 ~Credits/Q:1100 ~Credits/Q:20,~FSL-B/ ~Infinium/Clr:titanium-white/ ~Ion/Clr:titanium-white/ ~Jäger 619/ ~Jäger 619/Clr:sky-blue/ ~Mandala/Clr:black/ ~Merc/Clr:titanium-white/ ~Nimbus/Clr:titanium-white/ ~Octane/Clr:cobalt/ ~Sun-Damaged/
27,https://rocket-league.com/trade/2882d87b406d,| ,https://my.playstation.com/profile/Toxic_XxLightxX,~Dominus/Clr:titanium-white/,~Credits/Q:70000 
28,https://rocket-league.com/trade/2e4dc64dab1c,| ,https://my.playstation.com/profile/J_Kgamer_64,~Paladin/Clr:pink/,~Draco/
29,https://rocket-league.com/trade/d7e5c909eec3,| ,https://my.playstation.com/profile/Chooksta04,~Credits/Q:30,~Zomba blueprint/ ~Draco blueprint/ ~Infinium blueprint/
31,https://rocket-league.com/trade/31812e41094b,| ,https://my.playstation.com/profile/iRNKD,~Octane/Clr:crimson/ ~Fennec/Clr:titanium-white/ ~Apex/Clr:black/ ~Ninja/Clr:titanium-white/,~Credits/Q:4700 ~Credits/Q:28000  ~Credits/Q:12500  ~Credits/Q:5000
36,https://rocket-league.com/trade/76e817c06c0f,| ,https://my.playstation.com/profile/xX_Tim_Xx7824,~SLK/ ~Truncheon/ ~Flowers/,~Credits/Q:40 ~Credits/Q:50 ~Credits/Q:40
37,https://rocket-league.com/trade/fc64566a0034,| ,https://my.playstation.com/profile/Gooner4eva999,~Emerald/Clr:crimson/,~Credits/Q:7600
38,https://rocket-league.com/trade/1a984ea70b0f,| ,https://my.playstation.com/profile/aoe6677,~Credits/Q:50,~Free Ride/
