,Links,Note,Users,Items_offer,Items_want
0,https://rocket-league.com/trade/d2e348656423,| ,https://my.playstation.com/profile/GetSlimedd,~Fennec/,~Credits/Q:900
1,https://rocket-league.com/trade/a8b1cc801d2d,| ,https://my.playstation.com/profile/Cccp_dan,~Animus GP/Clr:purple/ ~Cyclone/Clr:saffron/ ~Diestro/Clr:grey/ ~Imperator DT5/Clr:orange/ ~Imperator DT5/Clr:saffron/ ~Peregrine TT/Clr:purple/ ~Animus GP/Clr:saffron/ ~Animus GP/Clr:sky-blue/ ~Animus GP/Clr:pink/ ~Samurai/Clr:forest-green/,~Credits/Q:250
2,https://rocket-league.com/trade/cd578c71c640,| ,https://my.playstation.com/profile/stage1light,~Jolt Bangle III/Clr:black/ ~Jolt Bangle III/Clr:lime/ ~Phoenix Wings III/Clr:crimson/ ~Phoenix Wings III/Clr:sky-blue/ ~Phoenix Wings III/Clr:lime/ ~Phoenix Wings III/Clr:purple/ ~Phoenix Wings III/Clr:saffron/ ~Halo/Clr:crimson/,~Credits/Q:550 ~Credits/Q:450 ~Credits/Q:1100 ~Credits/Q:700 ~Credits/Q:450 ~Credits/Q:550 ~Credits/Q:450 ~Credits/Q:750
4,https://rocket-league.com/trade/8094cdc6b166,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:950 ~Credits/Q:650 ~Credits/Q:1050 ~Credits/Q:750 ~Credits/Q:1050 ~Credits/Q:1150,~Octane/Clr:cobalt/ ~Octane/Clr:forest-green/ ~Octane/Clr:grey/ ~Octane/Clr:orange/ ~Octane/Clr:saffron/ ~Octane/Clr:purple/
7,https://rocket-league.com/trade/68d7bb701dc3,| ,https://my.playstation.com/profile/Lucid_Legend153,~Toon/,~Credits/Q:300
8,https://rocket-league.com/trade/59a6771d4394,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:1000 ~Credits/Q:750 ~Credits/Q:650 ~Credits/Q:450 ~Credits/Q:750,~Octane/Clr:pink/ ~Octane/Clr:orange/ ~Octane/Clr:forest-green/ ~Draco/Clr:forest-green/ ~Draco/Clr:cobalt/
9,https://rocket-league.com/trade/b71b97ceae7b,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:650 ~Credits/Q:950 ~Credits/Q:1350 ~Credits/Q:450 ~Credits/Q:850 ~Credits/Q:1050 ~Credits/Q:2200 ~Credits/Q:1850 ~Credits/Q:1000 ~Credits/Q:1000,~Draco/Clr:grey/ ~Draco/Clr:purple/ ~Draco/Clr:sky-blue/ ~Zomba/Clr:orange/ ~Zomba/Clr:black/ ~Octane/Clr:grey/ ~Octane/Clr:sky-blue/ ~Octane/Clr:lime/ ~Interstellar/Clr:cobalt/ ~Stipple Gait/
10,https://rocket-league.com/trade/3a35eaca9729,| ,https://my.playstation.com/profile/gurukscope,~Truncheon/Clr:grey/,~Credits/Q:80
11,https://rocket-league.com/trade/3752d75d81df,| ,https://my.playstation.com/profile/Lucid_Legend153,~Octane/Clr:crimson/,~Credits/Q:4900
12,https://rocket-league.com/trade/ff9b709af150,| ,https://my.playstation.com/profile/Brutal-_-Turtle,~Royal Tyrant/Clr:grey/ ~Octane Slimline/Clr:grey/ ~Voltaic/ ~Magic Missile/Clr:burnt-sienna/,~Credits/Q:40 ~Credits/Q:100 ~Credits/Q:120 ~Credits/Q:50
14,https://rocket-league.com/trade/660fd6eb1109,| ,https://my.playstation.com/profile/Mxtrix_Baller35,~Fennec/,~Credits/Q:1150
16,https://rocket-league.com/trade/4123d83600e1,| ,https://my.playstation.com/profile/OMGitzCSmith,~Golden Lantern '21/Q:12,~Credits/Q:2400
17,https://rocket-league.com/trade/803bc5239eee,| ,https://my.playstation.com/profile/Carrera-gt_2011,~Fire God/,~Credits/Q:1800
18,https://rocket-league.com/trade/2ee222393960,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:800 ~Credits/Q:950 ~Credits/Q:950 ~Credits/Q:1000 ~Credits/Q:1000 ~Credits/Q:1300 ~Credits/Q:800 ~Credits/Q:800,~Octane/Clr:cobalt/ ~Octane/Clr:grey/ ~Octane/Clr:saffron/ ~Octane/Clr:purple/ ~Fennec/Clr:cobalt/ ~Fennec/Clr:grey/ ~Zomba/Clr:black/ ~Zomba/Clr:sky-blue/
19,https://rocket-league.com/trade/714780fd8b11,| ,https://my.playstation.com/profile/Cynopsis23,~Credits/Q:100000  ~Octane/Clr:crimson/,~Octane/Clr:crimson/ ~Credits/Q:100000 
23,https://rocket-league.com/trade/f1d7381373f5,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:1050 ~Credits/Q:1000 ~Credits/Q:700 ~Credits/Q:1150 ~Credits/Q:1300 ~Credits/Q:1250 ~Credits/Q:1250 ~Credits/Q:2200,~Octane/Clr:grey/ ~Octane/Clr:pink/ ~Octane/Clr:forest-green/ ~Octane/Clr:purple/ ~Fennec/Clr:grey/ ~Fennec/Clr:purple/ ~Dominus/Clr:burnt-sienna/ ~Octane/Clr:sky-blue/
24,https://rocket-league.com/trade/3b99ef1f3f1f,| ,https://my.playstation.com/profile/xAlexKillzx,~Octane/Clr:titanium-white/,~Credits/Q:22000  ~Fennec/Clr:titanium-white/
27,https://rocket-league.com/trade/058ef4a96d58,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:350 ~Credits/Q:450 ~Credits/Q:850 ~Credits/Q:200,~Standard/Clr:crimson/ ~Standard/Clr:grey/ ~Standard/Clr:titanium-white/ ~Standard/Clr:sky-blue/
29,https://rocket-league.com/trade/12a5abd6d940,| ,https://my.playstation.com/profile/Brutal-_-Turtle,~Credits/Q:10 ~Credits/Q:40 ~Credits/Q:10 ~Credits/Clr:titanium-white/Q:1650,~Dave's Bread/ ~Satellite/ ~Hot Dog/ ~Sparkles/Clr:titanium-white/
31,https://rocket-league.com/trade/4aaee1969413,| ,https://my.playstation.com/profile/AllstarandBo,~Credits/Q:100,~Goop blueprint/ ~Blender blueprint/ ~Anodized Pearl blueprint/
33,https://rocket-league.com/trade/d9fb50b190e7,| ,https://my.playstation.com/profile/Pommor,~Credits/Q:800,~Halo/Clr:titanium-white/
37,https://rocket-league.com/trade/40cc1700fa68,| ,https://my.playstation.com/profile/TheMythPooch,~Credits/Q:750 ~Credits/Q:600 ~Credits/Q:450 ~Credits/Q:250,~Halo/Clr:titanium-white/ ~Halo/Clr:crimson/ ~Halo/Clr:black/ ~Halo/Clr:sky-blue/
39,https://rocket-league.com/trade/20e72e85653e,| ,https://my.playstation.com/profile/mur286ray,~Dissolver/,~Fennec/Clr:sky-blue/ ~Fennec/
